%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1753722633568775885,158721,1753722633568775885,imu_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016262548688355992,0.009683486145585925,0.0025638992842760885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2749133078018189,0.3500992006512452,9.418651724314273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1753722633573796042,158722,1753722633573796042,imu_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00964186017235549,0.009311305720335587,0.001651924891509122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.249578284819336,0.29776183265014655,9.171282988352052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1753722633578848069,158723,1753722633578848069,imu_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001011628974084538,0.010841370938370577,0.0006750218892761866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18381686752990725,0.27040436767028814,9.01505462626221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1753722633584235576,158724,1753722633584235576,imu_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005456815651843811,0.013497129012932712,5.369492301060575e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22431059875854498,0.30363026033935553,9.106553352268069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1753722633588200448,158725,1753722633588200448,imu_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008046422485116712,0.016494517857517613,0.00024058408316384963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2921361171542359,0.25130426479614265,9.329243794763185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1753722633594015719,158726,1753722633594015719,imu_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014253183549980673,0.01949019582456765,0.0004199074523315306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3362209713079835,0.2325762208599854,9.629291850578616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1753722633598065833,158727,1753722633598065833,imu_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013838465221493106,0.021011375777669188,0.0007586652393240447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4217321580920411,0.2591722100018311,9.97709578995331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1753722633602879612,158728,1753722633602879612,imu_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010233517132692086,0.022313974985337163,0.0014245920390634533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.41813032111450205,0.24589719976684576,10.286694376046144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1753722633608136471,158729,1753722633608136471,imu_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007227642496937778,0.02379283896507039,0.002115435510448649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.48635261858032236,0.2736804136569215,10.420193025545046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1753722633612929757,158730,1753722633612929757,imu_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.49943889612543e-05,0.024570622453828884,0.002518040503182263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4613142371835328,0.34619910600189213,10.31567277540497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
