%time,field.header.seq,field.header.stamp,field.header.frame_id,field.child_frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z,field.twist.covariance0,field.twist.covariance1,field.twist.covariance2,field.twist.covariance3,field.twist.covariance4,field.twist.covariance5,field.twist.covariance6,field.twist.covariance7,field.twist.covariance8,field.twist.covariance9,field.twist.covariance10,field.twist.covariance11,field.twist.covariance12,field.twist.covariance13,field.twist.covariance14,field.twist.covariance15,field.twist.covariance16,field.twist.covariance17,field.twist.covariance18,field.twist.covariance19,field.twist.covariance20,field.twist.covariance21,field.twist.covariance22,field.twist.covariance23,field.twist.covariance24,field.twist.covariance25,field.twist.covariance26,field.twist.covariance27,field.twist.covariance28,field.twist.covariance29,field.twist.covariance30,field.twist.covariance31,field.twist.covariance32,field.twist.covariance33,field.twist.covariance34,field.twist.covariance35
1753722588135699160,75094,1753722588135699160,odom,base_link,777804.8334984754,3401339.301402251,91.88933679647744,0.01091491247927157,-0.023486635259396912,-0.9939951127961633,0.10631537229913901,9.006139198444122e-05,0.0,0.0,0.0,0.0,0.0,0.0,9.265012605819221e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0004206986548104287,0.0,0.0,0.0,0.0,0.0,0.0,0.0002661626371323056,0.0,0.0,0.0,0.0,0.0,0.0,0.0003420649893487761,0.0,0.0,0.0,0.0,0.0,0.0,0.03563062355169677,12.735078967470692,-0.07998081431500388,0.2634403745484661,0.0,0.0,0.0,0.00344027631756344,0.0,0.0,0.0,0.0,0.0,0.0,0.001786919276672641,0.0,0.0,0.0,0.0,0.0,0.0,0.002489073097956554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1753722588145755202,75095,1753722588145755202,odom,base_link,777804.8334984754,3401339.301402251,91.88933679647744,0.011070881621625686,-0.023367465846416493,-0.9939905350720621,0.10636829089156152,9.006139198444122e-05,0.0,0.0,0.0,0.0,0.0,0.0,9.265012605819221e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0004206986548104287,0.0,0.0,0.0,0.0,0.0,0.0,0.0002661626371323056,0.0,0.0,0.0,0.0,0.0,0.0,0.0003420649893487761,0.0,0.0,0.0,0.0,0.0,0.0,0.03563062355169677,12.746555082870486,-0.08306108551430406,0.2674071941123884,0.0,0.0,0.0,0.00344027631756344,0.0,0.0,0.0,0.0,0.0,0.0,0.001786919276672641,0.0,0.0,0.0,0.0,0.0,0.0,0.002489073097956554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1753722588155750012,75096,1753722588155750012,odom,base_link,777804.8334984754,3401339.301402251,91.88933679647744,0.011094027594161634,-0.02334182781281083,-0.9939880429320024,0.10639479373683902,9.006139198444122e-05,0.0,0.0,0.0,0.0,0.0,0.0,9.265012605819221e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0004206986548104287,0.0,0.0,0.0,0.0,0.0,0.0,0.0002661626371323056,0.0,0.0,0.0,0.0,0.0,0.0,0.0003420649893487761,0.0,0.0,0.0,0.0,0.0,0.0,0.03563062355169677,12.747053489986177,-0.0808666457434797,0.2547414711035369,0.0,0.0,0.0,0.00344027631756344,0.0,0.0,0.0,0.0,0.0,0.0,0.001786919276672641,0.0,0.0,0.0,0.0,0.0,0.0,0.002489073097956554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1753722588165713644,75097,1753722588165713644,odom,base_link,777804.8334984754,3401339.301402251,91.88933679647744,0.01105094769604346,-0.023329108301765378,-0.993987488259531,0.1064072480819459,9.006139198444122e-05,0.0,0.0,0.0,0.0,0.0,0.0,9.265012605819221e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0004206986548104287,0.0,0.0,0.0,0.0,0.0,0.0,0.0002661626371323056,0.0,0.0,0.0,0.0,0.0,0.0,0.0003420649893487761,0.0,0.0,0.0,0.0,0.0,0.0,0.03563062355169677,12.745933605297504,-0.08025755801296665,0.2496496152080661,0.0,0.0,0.0,0.00344027631756344,0.0,0.0,0.0,0.0,0.0,0.0,0.001786919276672641,0.0,0.0,0.0,0.0,0.0,0.0,0.002489073097956554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1753722588175846404,75098,1753722588175846404,odom,base_link,777804.8334984754,3401339.301402251,91.88933679647744,0.011038361558627016,-0.02330814189821173,-0.9939849970977588,0.10643641594831255,9.006139198444122e-05,0.0,0.0,0.0,0.0,0.0,0.0,9.265012605819221e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0004206986548104287,0.0,0.0,0.0,0.0,0.0,0.0,0.0002661626371323056,0.0,0.0,0.0,0.0,0.0,0.0,0.0003420649893487761,0.0,0.0,0.0,0.0,0.0,0.0,0.03563062355169677,12.737933999659043,-0.07761523192582222,0.25340768054847257,0.0,0.0,0.0,0.00344027631756344,0.0,0.0,0.0,0.0,0.0,0.0,0.001786919276672641,0.0,0.0,0.0,0.0,0.0,0.0,0.002489073097956554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1753722588185440363,75099,1753722588185440363,odom,base_link,777804.8334984754,3401339.301402251,91.88933679647744,0.011065230939931444,-0.02328971498837054,-0.9939839861101789,0.10644710046086941,9.006139198444122e-05,0.0,0.0,0.0,0.0,0.0,0.0,9.265012605819221e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0004206986548104287,0.0,0.0,0.0,0.0,0.0,0.0,0.0002661626371323056,0.0,0.0,0.0,0.0,0.0,0.0,0.0003420649893487761,0.0,0.0,0.0,0.0,0.0,0.0,0.03563062355169677,12.729810013349308,-0.08016813665300215,0.25741150294297444,0.0,0.0,0.0,0.00344027631756344,0.0,0.0,0.0,0.0,0.0,0.0,0.001786919276672641,0.0,0.0,0.0,0.0,0.0,0.0,0.002489073097956554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1753722588195417032,75100,1753722588195417032,odom,base_link,777804.8334984754,3401339.301402251,91.88933679647744,0.011150344044693736,-0.02328620606090863,-0.9939820698274191,0.10645687998703263,9.006139198444122e-05,0.0,0.0,0.0,0.0,0.0,0.0,9.265012605819221e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0004206986548104287,0.0,0.0,0.0,0.0,0.0,0.0,0.0002661626371323056,0.0,0.0,0.0,0.0,0.0,0.0,0.0003420649893487761,0.0,0.0,0.0,0.0,0.0,0.0,0.03563062355169677,12.7357076023366,-0.07654667671520227,0.27045097438320753,0.0,0.0,0.0,0.00344027631756344,0.0,0.0,0.0,0.0,0.0,0.0,0.001786919276672641,0.0,0.0,0.0,0.0,0.0,0.0,0.002489073097956554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1753722588206566148,75101,1753722588206566148,odom,base_link,777804.8334984754,3401339.301402251,91.88933679647744,0.011291640955312826,-0.02322825160401903,-0.9939809953422818,0.1064646799193203,9.006139198444122e-05,0.0,0.0,0.0,0.0,0.0,0.0,9.265012605819221e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0004206986548104287,0.0,0.0,0.0,0.0,0.0,0.0,0.0002661626371323056,0.0,0.0,0.0,0.0,0.0,0.0,0.0003420649893487761,0.0,0.0,0.0,0.0,0.0,0.0,0.03563062355169677,12.747857659232107,-0.07503307705251792,0.25926024732886427,0.0,0.0,0.0,0.00344027631756344,0.0,0.0,0.0,0.0,0.0,0.0,0.001786919276672641,0.0,0.0,0.0,0.0,0.0,0.0,0.002489073097956554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1753722588215468412,75102,1753722588215468412,odom,base_link,777803.5929307147,3401339.008490927,91.89109303429723,0.011126128707119973,-0.02309586029686088,-0.9939833153877164,0.10648924465871629,9.218465096307027e-05,0.0,0.0,0.0,0.0,0.0,0.0,9.517017339833247e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00043046685271731777,0.0,0.0,0.0,0.0,0.0,0.0,0.0002661626371323056,0.0,0.0,0.0,0.0,0.0,0.0,0.0003420649893487761,0.0,0.0,0.0,0.0,0.0,0.0,0.03563062355169677,12.751031029495417,-0.07213830851381327,0.2327667814787606,0.0,0.0,0.0,0.00344027631756344,0.0,0.0,0.0,0.0,0.0,0.0,0.001786919276672641,0.0,0.0,0.0,0.0,0.0,0.0,0.002489073097956554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1753722588225778932,75103,1753722588225778932,odom,base_link,777803.5929307147,3401339.008490927,91.89109303429723,0.010979330617710972,-0.022949828479072242,-0.993985919815052,0.1065117405800563,9.218465096307027e-05,0.0,0.0,0.0,0.0,0.0,0.0,9.517017339833247e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00043046685271731777,0.0,0.0,0.0,0.0,0.0,0.0,0.0002661626371323056,0.0,0.0,0.0,0.0,0.0,0.0,0.0003420649893487761,0.0,0.0,0.0,0.0,0.0,0.0,0.03563062355169677,12.746145362020263,-0.07331383418892451,0.22357746822007601,0.0,0.0,0.0,0.00344027631756344,0.0,0.0,0.0,0.0,0.0,0.0,0.001786919276672641,0.0,0.0,0.0,0.0,0.0,0.0,0.002489073097956554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1753722588235755573,75104,1753722588235755573,odom,base_link,777803.5929307147,3401339.008490927,91.89109303429723,0.010902095283232677,-0.022892625467713763,-0.9939851579592724,0.10653909035800224,9.218465096307027e-05,0.0,0.0,0.0,0.0,0.0,0.0,9.517017339833247e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00043046685271731777,0.0,0.0,0.0,0.0,0.0,0.0,0.0002661626371323056,0.0,0.0,0.0,0.0,0.0,0.0,0.0003420649893487761,0.0,0.0,0.0,0.0,0.0,0.0,0.03563062355169677,12.733985485717021,-0.07484500119686174,0.23371543372244438,0.0,0.0,0.0,0.00344027631756344,0.0,0.0,0.0,0.0,0.0,0.0,0.001786919276672641,0.0,0.0,0.0,0.0,0.0,0.0,0.002489073097956554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1753722588245828840,75105,1753722588245828840,odom,base_link,777803.5929307147,3401339.008490927,91.89109303429723,0.01097903598331439,-0.022926230759563588,-0.9939817551835293,0.10655570878327875,9.218465096307027e-05,0.0,0.0,0.0,0.0,0.0,0.0,9.517017339833247e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00043046685271731777,0.0,0.0,0.0,0.0,0.0,0.0,0.0002661626371323056,0.0,0.0,0.0,0.0,0.0,0.0,0.0003420649893487761,0.0,0.0,0.0,0.0,0.0,0.0,0.03563062355169677,12.731971735881215,-0.07729595419376248,0.2568751174489946,0.0,0.0,0.0,0.00344027631756344,0.0,0.0,0.0,0.0,0.0,0.0,0.001786919276672641,0.0,0.0,0.0,0.0,0.0,0.0,0.002489073097956554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1753722588255798140,75106,1753722588255798140,odom,base_link,777803.5929307147,3401339.008490927,91.89109303429723,0.011170669206544439,-0.02299914330603709,-0.9939766642396286,0.10656756778554644,9.218465096307027e-05,0.0,0.0,0.0,0.0,0.0,0.0,9.517017339833247e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00043046685271731777,0.0,0.0,0.0,0.0,0.0,0.0,0.0002661626371323056,0.0,0.0,0.0,0.0,0.0,0.0,0.0003420649893487761,0.0,0.0,0.0,0.0,0.0,0.0,0.03563062355169677,12.735586703620047,-0.08091456504310195,0.26601989852349783,0.0,0.0,0.0,0.00344027631756344,0.0,0.0,0.0,0.0,0.0,0.0,0.001786919276672641,0.0,0.0,0.0,0.0,0.0,0.0,0.002489073097956554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1753722588265738957,75107,1753722588265738957,odom,base_link,777803.5929307147,3401339.008490927,91.89109303429723,0.011327327013704324,-0.022997597444346297,-0.9939734571312456,0.1065812774040173,9.218465096307027e-05,0.0,0.0,0.0,0.0,0.0,0.0,9.517017339833247e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00043046685271731777,0.0,0.0,0.0,0.0,0.0,0.0,0.0002661626371323056,0.0,0.0,0.0,0.0,0.0,0.0,0.0003420649893487761,0.0,0.0,0.0,0.0,0.0,0.0,0.03563062355169677,12.746114303866888,-0.08266770721392898,0.252576465024553,0.0,0.0,0.0,0.00344027631756344,0.0,0.0,0.0,0.0,0.0,0.0,0.001786919276672641,0.0,0.0,0.0,0.0,0.0,0.0,0.002489073097956554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1753722588275655701,75108,1753722588275655701,odom,base_link,777803.5929307147,3401339.008490927,91.89109303429723,0.011246527629025496,-0.02292920870207928,-0.9939766852301082,0.10657446328062126,9.218465096307027e-05,0.0,0.0,0.0,0.0,0.0,0.0,9.517017339833247e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00043046685271731777,0.0,0.0,0.0,0.0,0.0,0.0,0.0002661626371323056,0.0,0.0,0.0,0.0,0.0,0.0,0.0003420649893487761,0.0,0.0,0.0,0.0,0.0,0.0,0.03563062355169677,12.752225682405422,-0.08476709775551285,0.22590367859015098,0.0,0.0,0.0,0.00344027631756344,0.0,0.0,0.0,0.0,0.0,0.0,0.001786919276672641,0.0,0.0,0.0,0.0,0.0,0.0,0.002489073097956554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
